Product,Measure,Units,Year,Value,fact_text
Skim milk & butter milk powder,Export revenue,$NZ millions,2006,915.0,"In 2006, the export revenue of Skim milk & butter milk powder was 915.0 $NZ millions in New Zealand."
Casein & protein products,Export volume,tonnes,2006,161265.0,"In 2006, the export volume of Casein & protein products was 161265.0 tonnes in New Zealand."
Casein & protein products,Average export price,$NZ/tonne,2006,7548.0,"In 2006, the average export price for Casein & protein products was 7548.0 $NZ/tonne in New Zealand."
Casein & protein products,Export revenue,$NZ millions,2006,1217.0,"In 2006, the export revenue of Casein & protein products was 1217.0 $NZ millions in New Zealand."
Cheese,Export volume,tonnes,2006,271469.0,"In 2006, the export volume of Cheese was 271469.0 tonnes in New Zealand."
Cheese,Average export price,$NZ/tonne,2006,4225.0,"In 2006, the average export price for Cheese was 4225.0 $NZ/tonne in New Zealand."
Cheese,Export revenue,$NZ millions,2006,1147.0,"In 2006, the export revenue of Cheese was 1147.0 $NZ millions in New Zealand."
Infant formula,Export volume,tonnes,2006,12226.0,"In 2006, the export volume of Infant formula was 12226.0 tonnes in New Zealand."
Infant formula,Average export price,$NZ/tonne,2006,7240.0,"In 2006, the average export price for Infant formula was 7240.0 $NZ/tonne in New Zealand."
Infant formula,Export revenue,$NZ millions,2006,89.0,"In 2006, the export revenue of Infant formula was 89.0 $NZ millions in New Zealand."
Fluid milk and other dairy products,Export volume,tonnes,2006,186617.0,"In 2006, the export volume of Fluid milk and other dairy products was 186617.0 tonnes in New Zealand."
Fluid milk and other dairy products,Average export price,$NZ/tonne,2006,2425.0,"In 2006, the average export price for Fluid milk and other dairy products was 2425.0 $NZ/tonne in New Zealand."
Fluid milk and other dairy products,Export revenue,$NZ millions,2006,453.0,"In 2006, the export revenue of Fluid milk and other dairy products was 453.0 $NZ millions in New Zealand."
Whole milk powder,Export volume,tonnes,2007,652448.0,"In 2007, the export volume of Whole milk powder was 652448.0 tonnes in New Zealand."
Whole milk powder,Average export price,$NZ/tonne,2007,3347.0,"In 2007, the average export price for Whole milk powder was 3347.0 $NZ/tonne in New Zealand."
Whole milk powder,Export revenue,$NZ millions,2007,2184.0,"In 2007, the export revenue of Whole milk powder was 2184.0 $NZ millions in New Zealand."
"Butter, AMF, and cream",Export volume,tonnes,2007,403224.0,"In 2007, the export volume of Butter, AMF, and cream was 403224.0 tonnes in New Zealand."
"Butter, AMF, and cream",Average export price,$NZ/tonne,2007,2637.0,"In 2007, the average export price for Butter, AMF, and cream was 2637.0 $NZ/tonne in New Zealand."
"Butter, AMF, and cream",Export revenue,$NZ millions,2007,1063.0,"In 2007, the export revenue of Butter, AMF, and cream was 1063.0 $NZ millions in New Zealand."
Skim milk & butter milk powder,Export volume,tonnes,2007,371783.0,"In 2007, the export volume of Skim milk & butter milk powder was 371783.0 tonnes in New Zealand."
Skim milk & butter milk powder,Average export price,$NZ/tonne,2007,3454.0,"In 2007, the average export price for Skim milk & butter milk powder was 3454.0 $NZ/tonne in New Zealand."
Skim milk & butter milk powder,Export revenue,$NZ millions,2007,1284.0,"In 2007, the export revenue of Skim milk & butter milk powder was 1284.0 $NZ millions in New Zealand."
Casein & protein products,Export volume,tonnes,2007,217685.0,"In 2007, the export volume of Casein & protein products was 217685.0 tonnes in New Zealand."
Casein & protein products,Average export price,$NZ/tonne,2007,7046.0,"In 2007, the average export price for Casein & protein products was 7046.0 $NZ/tonne in New Zealand."
Casein & protein products,Export revenue,$NZ millions,2007,1534.0,"In 2007, the export revenue of Casein & protein products was 1534.0 $NZ millions in New Zealand."
Cheese,Export volume,tonnes,2007,310912.0,"In 2007, the export volume of Cheese was 310912.0 tonnes in New Zealand."
Cheese,Average export price,$NZ/tonne,2007,3962.0,"In 2007, the average export price for Cheese was 3962.0 $NZ/tonne in New Zealand."
Cheese,Export revenue,$NZ millions,2007,1232.0,"In 2007, the export revenue of Cheese was 1232.0 $NZ millions in New Zealand."
Infant formula,Export volume,tonnes,2007,14826.0,"In 2007, the export volume of Infant formula was 14826.0 tonnes in New Zealand."
Infant formula,Average export price,$NZ/tonne,2007,7878.0,"In 2007, the average export price for Infant formula was 7878.0 $NZ/tonne in New Zealand."
Infant formula,Export revenue,$NZ millions,2007,117.0,"In 2007, the export revenue of Infant formula was 117.0 $NZ millions in New Zealand."
Fluid milk and other dairy products,Export volume,tonnes,2007,179816.0,"In 2007, the export volume of Fluid milk and other dairy products was 179816.0 tonnes in New Zealand."
Fluid milk and other dairy products,Average export price,$NZ/tonne,2007,2417.0,"In 2007, the average export price for Fluid milk and other dairy products was 2417.0 $NZ/tonne in New Zealand."
Fluid milk and other dairy products,Export revenue,$NZ millions,2007,435.0,"In 2007, the export revenue of Fluid milk and other dairy products was 435.0 $NZ millions in New Zealand."
Whole milk powder,Export volume,tonnes,2008,632411.0,"In 2008, the export volume of Whole milk powder was 632411.0 tonnes in New Zealand."
Whole milk powder,Average export price,$NZ/tonne,2008,5460.0,"In 2008, the average export price for Whole milk powder was 5460.0 $NZ/tonne in New Zealand."
Whole milk powder,Export revenue,$NZ millions,2008,3453.0,"In 2008, the export revenue of Whole milk powder was 3453.0 $NZ millions in New Zealand."
"Butter, AMF, and cream",Export volume,tonnes,2008,347762.0,"In 2008, the export volume of Butter, AMF, and cream was 347762.0 tonnes in New Zealand."
"Butter, AMF, and cream",Average export price,$NZ/tonne,2008,4389.0,"In 2008, the average export price for Butter, AMF, and cream was 4389.0 $NZ/tonne in New Zealand."
"Butter, AMF, and cream",Export revenue,$NZ millions,2008,1526.0,"In 2008, the export revenue of Butter, AMF, and cream was 1526.0 $NZ millions in New Zealand."
Skim milk & butter milk powder,Export volume,tonnes,2008,288684.0,"In 2008, the export volume of Skim milk & butter milk powder was 288684.0 tonnes in New Zealand."
Skim milk & butter milk powder,Average export price,$NZ/tonne,2008,5369.0,"In 2008, the average export price for Skim milk & butter milk powder was 5369.0 $NZ/tonne in New Zealand."
Skim milk & butter milk powder,Export revenue,$NZ millions,2008,1550.0,"In 2008, the export revenue of Skim milk & butter milk powder was 1550.0 $NZ millions in New Zealand."
Casein & protein products,Export volume,tonnes,2008,172991.0,"In 2008, the export volume of Casein & protein products was 172991.0 tonnes in New Zealand."
Casein & protein products,Average export price,$NZ/tonne,2008,9420.0,"In 2008, the average export price for Casein & protein products was 9420.0 $NZ/tonne in New Zealand."
Casein & protein products,Export revenue,$NZ millions,2008,1630.0,"In 2008, the export revenue of Casein & protein products was 1630.0 $NZ millions in New Zealand."
Cheese,Export volume,tonnes,2008,273479.0,"In 2008, the export volume of Cheese was 273479.0 tonnes in New Zealand."
Cheese,Average export price,$NZ/tonne,2008,5272.0,"In 2008, the average export price for Cheese was 5272.0 $NZ/tonne in New Zealand."
Cheese,Export revenue,$NZ millions,2008,1442.0,"In 2008, the export revenue of Cheese was 1442.0 $NZ millions in New Zealand."
Infant formula,Export volume,tonnes,2008,19678.0,"In 2008, the export volume of Infant formula was 19678.0 tonnes in New Zealand."
Infant formula,Average export price,$NZ/tonne,2008,9110.0,"In 2008, the average export price for Infant formula was 9110.0 $NZ/tonne in New Zealand."
Infant formula,Export revenue,$NZ millions,2008,179.0,"In 2008, the export revenue of Infant formula was 179.0 $NZ millions in New Zealand."
Fluid milk and other dairy products,Export volume,tonnes,2008,192199.0,"In 2008, the export volume of Fluid milk and other dairy products was 192199.0 tonnes in New Zealand."
Fluid milk and other dairy products,Average export price,$NZ/tonne,2008,3013.0,"In 2008, the average export price for Fluid milk and other dairy products was 3013.0 $NZ/tonne in New Zealand."
Fluid milk and other dairy products,Export revenue,$NZ millions,2008,579.0,"In 2008, the export revenue of Fluid milk and other dairy products was 579.0 $NZ millions in New Zealand."
Whole milk powder,Export volume,tonnes,2009,680723.0,"In 2009, the export volume of Whole milk powder was 680723.0 tonnes in New Zealand."
Whole milk powder,Average export price,$NZ/tonne,2009,4818.0,"In 2009, the average export price for Whole milk powder was 4818.0 $NZ/tonne in New Zealand."
Whole milk powder,Export revenue,$NZ millions,2009,3280.0,"In 2009, the export revenue of Whole milk powder was 3280.0 $NZ millions in New Zealand."
"Butter, AMF, and cream",Export volume,tonnes,2009,388369.0,"In 2009, the export volume of Butter, AMF, and cream was 388369.0 tonnes in New Zealand."
"Butter, AMF, and cream",Average export price,$NZ/tonne,2009,4358.0,"In 2009, the average export price for Butter, AMF, and cream was 4358.0 $NZ/tonne in New Zealand."
"Butter, AMF, and cream",Export revenue,$NZ millions,2009,1693.0,"In 2009, the export revenue of Butter, AMF, and cream was 1693.0 $NZ millions in New Zealand."
Skim milk & butter milk powder,Export volume,tonnes,2009,373036.0,"In 2009, the export volume of Skim milk & butter milk powder was 373036.0 tonnes in New Zealand."
Skim milk & butter milk powder,Average export price,$NZ/tonne,2009,3988.0,"In 2009, the average export price for Skim milk & butter milk powder was 3988.0 $NZ/tonne in New Zealand."
Skim milk & butter milk powder,Export revenue,$NZ millions,2009,1488.0,"In 2009, the export revenue of Skim milk & butter milk powder was 1488.0 $NZ millions in New Zealand."
Casein & protein products,Export volume,tonnes,2009,170300.0,"In 2009, the export volume of Casein & protein products was 170300.0 tonnes in New Zealand."
Casein & protein products,Average export price,$NZ/tonne,2009,11204.0,"In 2009, the average export price for Casein & protein products was 11204.0 $NZ/tonne in New Zealand."
Casein & protein products,Export revenue,$NZ millions,2009,1908.0,"In 2009, the export revenue of Casein & protein products was 1908.0 $NZ millions in New Zealand."
Cheese,Export volume,tonnes,2009,270658.0,"In 2009, the export volume of Cheese was 270658.0 tonnes in New Zealand."
Cheese,Average export price,$NZ/tonne,2009,5955.0,"In 2009, the average export price for Cheese was 5955.0 $NZ/tonne in New Zealand."
Cheese,Export revenue,$NZ millions,2009,1612.0,"In 2009, the export revenue of Cheese was 1612.0 $NZ millions in New Zealand."
Infant formula,Export volume,tonnes,2009,21750.0,"In 2009, the export volume of Infant formula was 21750.0 tonnes in New Zealand."
Infant formula,Average export price,$NZ/tonne,2009,12355.0,"In 2009, the average export price for Infant formula was 12355.0 $NZ/tonne in New Zealand."
Infant formula,Export revenue,$NZ millions,2009,269.0,"In 2009, the export revenue of Infant formula was 269.0 $NZ millions in New Zealand."
Fluid milk and other dairy products,Export volume,tonnes,2009,226340.0,"In 2009, the export volume of Fluid milk and other dairy products was 226340.0 tonnes in New Zealand."
Fluid milk and other dairy products,Average export price,$NZ/tonne,2009,3478.0,"In 2009, the average export price for Fluid milk and other dairy products was 3478.0 $NZ/tonne in New Zealand."
Fluid milk and other dairy products,Export revenue,$NZ millions,2009,787.0,"In 2009, the export revenue of Fluid milk and other dairy products was 787.0 $NZ millions in New Zealand."
Whole milk powder,Export volume,tonnes,2010,902165.0,"In 2010, the export volume of Whole milk powder was 902165.0 tonnes in New Zealand."
Whole milk powder,Average export price,$NZ/tonne,2010,3940.0,"In 2010, the average export price for Whole milk powder was 3940.0 $NZ/tonne in New Zealand."
Whole milk powder,Export revenue,$NZ millions,2010,3555.0,"In 2010, the export revenue of Whole milk powder was 3555.0 $NZ millions in New Zealand."
"Butter, AMF, and cream",Export volume,tonnes,2010,415552.0,"In 2010, the export volume of Butter, AMF, and cream was 415552.0 tonnes in New Zealand."
"Butter, AMF, and cream",Average export price,$NZ/tonne,2010,4204.0,"In 2010, the average export price for Butter, AMF, and cream was 4204.0 $NZ/tonne in New Zealand."
"Butter, AMF, and cream",Export revenue,$NZ millions,2010,1747.0,"In 2010, the export revenue of Butter, AMF, and cream was 1747.0 $NZ millions in New Zealand."
Skim milk & butter milk powder,Export volume,tonnes,2010,429526.0,"In 2010, the export volume of Skim milk & butter milk powder was 429526.0 tonnes in New Zealand."
Skim milk & butter milk powder,Average export price,$NZ/tonne,2010,3501.0,"In 2010, the average export price for Skim milk & butter milk powder was 3501.0 $NZ/tonne in New Zealand."
Skim milk & butter milk powder,Export revenue,$NZ millions,2010,1504.0,"In 2010, the export revenue of Skim milk & butter milk powder was 1504.0 $NZ millions in New Zealand."
Casein & protein products,Export volume,tonnes,2010,162832.0,"In 2010, the export volume of Casein & protein products was 162832.0 tonnes in New Zealand."
Casein & protein products,Average export price,$NZ/tonne,2010,8014.0,"In 2010, the average export price for Casein & protein products was 8014.0 $NZ/tonne in New Zealand."
Casein & protein products,Export revenue,$NZ millions,2010,1305.0,"In 2010, the export revenue of Casein & protein products was 1305.0 $NZ millions in New Zealand."
Cheese,Export volume,tonnes,2010,278433.0,"In 2010, the export volume of Cheese was 278433.0 tonnes in New Zealand."
Cheese,Average export price,$NZ/tonne,2010,4779.0,"In 2010, the average export price for Cheese was 4779.0 $NZ/tonne in New Zealand."
Cheese,Export revenue,$NZ millions,2010,1331.0,"In 2010, the export revenue of Cheese was 1331.0 $NZ millions in New Zealand."
Infant formula,Export volume,tonnes,2010,19991.0,"In 2010, the export volume of Infant formula was 19991.0 tonnes in New Zealand."
Infant formula,Average export price,$NZ/tonne,2010,12575.0,"In 2010, the average export price for Infant formula was 12575.0 $NZ/tonne in New Zealand."
Infant formula,Export revenue,$NZ millions,2010,251.0,"In 2010, the export revenue of Infant formula was 251.0 $NZ millions in New Zealand."
Fluid milk and other dairy products,Export volume,tonnes,2010,219415.0,"In 2010, the export volume of Fluid milk and other dairy products was 219415.0 tonnes in New Zealand."
Fluid milk and other dairy products,Average export price,$NZ/tonne,2010,2824.0,"In 2010, the average export price for Fluid milk and other dairy products was 2824.0 $NZ/tonne in New Zealand."
Fluid milk and other dairy products,Export revenue,$NZ millions,2010,620.0,"In 2010, the export revenue of Fluid milk and other dairy products was 620.0 $NZ millions in New Zealand."
Whole milk powder,Export volume,tonnes,2011,1066070.0,"In 2011, the export volume of Whole milk powder was 1066070.0 tonnes in New Zealand."
Whole milk powder,Average export price,$NZ/tonne,2011,4765.0,"In 2011, the average export price for Whole milk powder was 4765.0 $NZ/tonne in New Zealand."
Whole milk powder,Export revenue,$NZ millions,2011,5080.0,"In 2011, the export revenue of Whole milk powder was 5080.0 $NZ millions in New Zealand."
"Butter, AMF, and cream",Export volume,tonnes,2011,397738.0,"In 2011, the export volume of Butter, AMF, and cream was 397738.0 tonnes in New Zealand."
"Butter, AMF, and cream",Average export price,$NZ/tonne,2011,6036.0,"In 2011, the average export price for Butter, AMF, and cream was 6036.0 $NZ/tonne in New Zealand."
"Butter, AMF, and cream",Export revenue,$NZ millions,2011,2401.0,"In 2011, the export revenue of Butter, AMF, and cream was 2401.0 $NZ millions in New Zealand."
Skim milk & butter milk powder,Export volume,tonnes,2011,384718.0,"In 2011, the export volume of Skim milk & butter milk powder was 384718.0 tonnes in New Zealand."
Skim milk & butter milk powder,Average export price,$NZ/tonne,2011,4301.0,"In 2011, the average export price for Skim milk & butter milk powder was 4301.0 $NZ/tonne in New Zealand."
Skim milk & butter milk powder,Export revenue,$NZ millions,2011,1655.0,"In 2011, the export revenue of Skim milk & butter milk powder was 1655.0 $NZ millions in New Zealand."
Casein & protein products,Export volume,tonnes,2011,155640.0,"In 2011, the export volume of Casein & protein products was 155640.0 tonnes in New Zealand."
Casein & protein products,Average export price,$NZ/tonne,2011,9662.0,"In 2011, the average export price for Casein & protein products was 9662.0 $NZ/tonne in New Zealand."
Casein & protein products,Export revenue,$NZ millions,2011,1504.0,"In 2011, the export revenue of Casein & protein products was 1504.0 $NZ millions in New Zealand."
Cheese,Export volume,tonnes,2011,248197.0,"In 2011, the export volume of Cheese was 248197.0 tonnes in New Zealand."
Cheese,Average export price,$NZ/tonne,2011,5456.0,"In 2011, the average export price for Cheese was 5456.0 $NZ/tonne in New Zealand."
Cheese,Export revenue,$NZ millions,2011,1354.0,"In 2011, the export revenue of Cheese was 1354.0 $NZ millions in New Zealand."
Infant formula,Export volume,tonnes,2011,20026.0,"In 2011, the export volume of Infant formula was 20026.0 tonnes in New Zealand."
Infant formula,Average export price,$NZ/tonne,2011,12262.0,"In 2011, the average export price for Infant formula was 12262.0 $NZ/tonne in New Zealand."
Infant formula,Export revenue,$NZ millions,2011,246.0,"In 2011, the export revenue of Infant formula was 246.0 $NZ millions in New Zealand."
Fluid milk and other dairy products,Export volume,tonnes,2011,215675.0,"In 2011, the export volume of Fluid milk and other dairy products was 215675.0 tonnes in New Zealand."
Fluid milk and other dairy products,Average export price,$NZ/tonne,2011,3123.0,"In 2011, the average export price for Fluid milk and other dairy products was 3123.0 $NZ/tonne in New Zealand."
Fluid milk and other dairy products,Export revenue,$NZ millions,2011,673.0,"In 2011, the export revenue of Fluid milk and other dairy products was 673.0 $NZ millions in New Zealand."
Whole milk powder,Export volume,tonnes,2012,1123294.0,"In 2012, the export volume of Whole milk powder was 1123294.0 tonnes in New Zealand."
Whole milk powder,Average export price,$NZ/tonne,2012,4603.0,"In 2012, the average export price for Whole milk powder was 4603.0 $NZ/tonne in New Zealand."
Whole milk powder,Export revenue,$NZ millions,2012,5170.0,"In 2012, the export revenue of Whole milk powder was 5170.0 $NZ millions in New Zealand."
"Butter, AMF, and cream",Export volume,tonnes,2012,445154.0,"In 2012, the export volume of Butter, AMF, and cream was 445154.0 tonnes in New Zealand."
"Butter, AMF, and cream",Average export price,$NZ/tonne,2012,5155.0,"In 2012, the average export price for Butter, AMF, and cream was 5155.0 $NZ/tonne in New Zealand."
"Butter, AMF, and cream",Export revenue,$NZ millions,2012,2295.0,"In 2012, the export revenue of Butter, AMF, and cream was 2295.0 $NZ millions in New Zealand."
Skim milk & butter milk powder,Export volume,tonnes,2012,385014.0,"In 2012, the export volume of Skim milk & butter milk powder was 385014.0 tonnes in New Zealand."
Skim milk & butter milk powder,Average export price,$NZ/tonne,2012,4414.0,"In 2012, the average export price for Skim milk & butter milk powder was 4414.0 $NZ/tonne in New Zealand."
Skim milk & butter milk powder,Export revenue,$NZ millions,2012,1699.0,"In 2012, the export revenue of Skim milk & butter milk powder was 1699.0 $NZ millions in New Zealand."
Casein & protein products,Export volume,tonnes,2012,175692.0,"In 2012, the export volume of Casein & protein products was 175692.0 tonnes in New Zealand."
Casein & protein products,Average export price,$NZ/tonne,2012,9932.0,"In 2012, the average export price for Casein & protein products was 9932.0 $NZ/tonne in New Zealand."
Casein & protein products,Export revenue,$NZ millions,2012,1745.0,"In 2012, the export revenue of Casein & protein products was 1745.0 $NZ millions in New Zealand."
Cheese,Export volume,tonnes,2012,274906.0,"In 2012, the export volume of Cheese was 274906.0 tonnes in New Zealand."
Cheese,Average export price,$NZ/tonne,2012,5164.0,"In 2012, the average export price for Cheese was 5164.0 $NZ/tonne in New Zealand."
Cheese,Export revenue,$NZ millions,2012,1420.0,"In 2012, the export revenue of Cheese was 1420.0 $NZ millions in New Zealand."
Infant formula,Export volume,tonnes,2012,28788.0,"In 2012, the export volume of Infant formula was 28788.0 tonnes in New Zealand."
Infant formula,Average export price,$NZ/tonne,2012,12138.0,"In 2012, the average export price for Infant formula was 12138.0 $NZ/tonne in New Zealand."
Infant formula,Export revenue,$NZ millions,2012,349.0,"In 2012, the export revenue of Infant formula was 349.0 $NZ millions in New Zealand."
Fluid milk and other dairy products,Export volume,tonnes,2012,220101.0,"In 2012, the export volume of Fluid milk and other dairy products was 220101.0 tonnes in New Zealand."
Fluid milk and other dairy products,Average export price,$NZ/tonne,2012,3185.0,"In 2012, the average export price for Fluid milk and other dairy products was 3185.0 $NZ/tonne in New Zealand."
Fluid milk and other dairy products,Export revenue,$NZ millions,2012,701.0,"In 2012, the export revenue of Fluid milk and other dairy products was 701.0 $NZ millions in New Zealand."
Whole milk powder,Export volume,tonnes,2013,1273397.0,"In 2013, the export volume of Whole milk powder was 1273397.0 tonnes in New Zealand."
Whole milk powder,Average export price,$NZ/tonne,2013,4009.0,"In 2013, the average export price for Whole milk powder was 4009.0 $NZ/tonne in New Zealand."
Whole milk powder,Export revenue,$NZ millions,2013,5104.0,"In 2013, the export revenue of Whole milk powder was 5104.0 $NZ millions in New Zealand."
"Butter, AMF, and cream",Export volume,tonnes,2013,464651.0,"In 2013, the export volume of Butter, AMF, and cream was 464651.0 tonnes in New Zealand."
"Butter, AMF, and cream",Average export price,$NZ/tonne,2013,4110.0,"In 2013, the average export price for Butter, AMF, and cream was 4110.0 $NZ/tonne in New Zealand."
"Butter, AMF, and cream",Export revenue,$NZ millions,2013,1910.0,"In 2013, the export revenue of Butter, AMF, and cream was 1910.0 $NZ millions in New Zealand."
Skim milk & butter milk powder,Export volume,tonnes,2013,454820.0,"In 2013, the export volume of Skim milk & butter milk powder was 454820.0 tonnes in New Zealand."
Skim milk & butter milk powder,Average export price,$NZ/tonne,2013,4028.0,"In 2013, the average export price for Skim milk & butter milk powder was 4028.0 $NZ/tonne in New Zealand."
Skim milk & butter milk powder,Export revenue,$NZ millions,2013,1832.0,"In 2013, the export revenue of Skim milk & butter milk powder was 1832.0 $NZ millions in New Zealand."
